"id","estimate","inCI","width"
1,0.520244073174628,1,0.867987312399322
2,0.37795945018843,1,0.82512758801906
3,0.37795945018843,1,0.82512758801906
4,0.471496888843939,1,0.855777535307131
5,0.562570644348652,1,0.87715027508927
6,0.37795945018843,1,0.82512758801906
7,0.727318274018402,1,0.904556493652127
8,0.142329324847983,1,0.668759086568026
9,0.443734309561379,1,0.847819644869929
10,0,NA,NA
11,0.651541659749594,1,0.893169979546346
12,0.542063830278199,1,0.872870977555401
13,0.562570644348652,1,0.87715027508927
14,0.600450277615467,1,0.884363810695984
15,0.496839111679469,1,0.86236919223216
16,0.288820848474876,1,0.78258089543646
17,0.412881794087257,1,0.837980543371435
18,0.562570644348652,1,0.87715027508927
19,0.227324026022207,1,0.741298396511465
20,0.412881794087257,1,0.837980543371435
21,0.227324026022207,1,0.741298396511465
22,0.227324026022207,1,0.741298396511465
23,0.581976416231046,1,0.880985940015887
24,0.600450277615467,1,0.884363810695984
25,0,NA,NA
226,0.600450277615467,1,0.884363810695984
227,0.562570644348652,1,0.87715027508927
228,0.227324026022207,1,0.741298396511465
229,0.337449925219857,1,0.807852930711235
230,0.618129728807538,1,0.887583451589122
231,0.227324026022207,1,0.741298396511465
232,0.651541659749594,1,0.893169979546346
233,0,NA,NA
234,0.337449925219857,1,0.807852930711235
235,0.412881794087257,1,0.837980543371435
236,0.651541659749594,1,0.893169979546346
237,0.635128409804321,1,0.890422270698761
238,0.520244073174628,1,0.867987312399322
239,0.698026209340726,1,0.900354515357594
240,0.412881794087257,1,0.837980543371435
241,0.712807857628347,1,0.902451036947999
242,0.600450277615467,1,0.884363810695984
243,0,NA,NA
244,0.142329324847983,1,0.668759086568026
245,0.496839111679469,1,0.86236919223216
246,0.227324026022207,1,0.741298396511465
247,0.337449925219857,1,0.807852930711235
248,0.618129728807538,1,0.887583451589122
249,0.581976416231046,1,0.880985940015887
250,0.496839111679469,1,0.86236919223216
2476,0.288820848474876,1,0.78258089543646
2477,0,NA,NA
2478,0.227324026022207,1,0.741298396511465
2479,0.337449925219857,1,0.807852930711235
2480,0.288820848474876,1,0.78258089543646
2481,0.618129728807538,1,0.887583451589122
2482,0.337449925219857,1,0.807852930711235
2483,0.412881794087257,1,0.837980543371435
2484,0,NA,NA
2485,0.227324026022207,1,0.741298396511465
2486,0.288820848474876,1,0.78258089543646
2487,0.337449925219857,1,0.807852930711235
2488,0.412881794087257,1,0.837980543371435
2489,0.68292509331994,1,0.898039734914089
2490,0.412881794087257,1,0.837980543371435
2491,0.618129728807538,1,0.887583451589122
2492,0.562570644348652,1,0.87715027508927
2493,0.37795945018843,1,0.82512758801906
2494,0.542063830278199,1,0.872870977555401
2495,0.496839111679469,1,0.86236919223216
2496,0.562570644348652,1,0.87715027508927
2497,0.443734309561379,1,0.847819644869929
2498,0.520244073174628,1,0.867987312399322
2499,0.562570644348652,1,0.87715027508927
2500,0.142329324847983,1,0.668759086568026
2501,0.142329324847983,1,0.668759086568026
2502,0.37795945018843,1,0.82512758801906
2503,0.741601094112166,1,0.906578353021278
2504,0.412881794087257,1,0.837980543371435
2505,0.852020089150188,1,0.92139121807225
2506,0.651541659749594,1,0.893169979546346
2507,0.337449925219857,1,0.807852930711235
2508,0,NA,NA
2509,0.337449925219857,1,0.807852930711235
2510,0.37795945018843,1,0.82512758801906
2511,0.755696451026,1,0.908534942151426
2512,0.496839111679469,1,0.86236919223216
2513,0.37795945018843,1,0.82512758801906
2514,0.783470965520146,1,0.912265283176751
2515,0.288820848474876,1,0.78258089543646
2516,0.227324026022207,1,0.741298396511465
2517,0.520244073174628,1,0.867987312399322
2518,0.667450584463582,1,0.895656496314342
2519,0.412881794087257,1,0.837980543371435
2520,0.797218325678337,1,0.914140064443609
2521,0.443734309561379,1,0.847819644869929
2522,0.443734309561379,1,0.847819644869929
2523,0,NA,NA
2524,0.443734309561379,1,0.847819644869929
2525,0,NA,NA
2526,0,NA,NA
2527,0.520244073174628,1,0.867987312399322
2528,0.562570644348652,1,0.87715027508927
2529,0.337449925219857,1,0.807852930711235
2530,0.698026209340726,1,0.900354515357594
2531,0,NA,NA
2532,0.520244073174628,1,0.867987312399322
2533,0.783470965520146,1,0.912265283176751
2534,0.471496888843939,1,0.855777535307131
2535,0.581976416231046,1,0.880985940015887
2536,0.520244073174628,1,0.867987312399322
2537,0.142329324847983,1,0.668759086568026
2538,0.600450277615467,1,0.884363810695984
2539,0.520244073174628,1,0.867987312399322
2540,0.542063830278199,1,0.872870977555401
2541,0.667450584463582,1,0.895656496314342
2542,0.496839111679469,1,0.86236919223216
2543,0.68292509331994,1,0.898039734914089
2544,0.520244073174628,1,0.867987312399322
2545,0.783470965520146,1,0.912265283176751
2546,0.288820848474876,1,0.78258089543646
2547,0.227324026022207,1,0.741298396511465
2548,0.562570644348652,1,0.87715027508927
2549,0.797218325678337,1,0.914140064443609
2550,0.337449925219857,1,0.807852930711235
2551,0.520244073174628,1,0.867987312399322
2552,0.227324026022207,1,0.741298396511465
2553,0.651541659749594,1,0.893169979546346
2554,0.412881794087257,1,0.837980543371435
2555,0.288820848474876,1,0.78258089543646
2556,0.443734309561379,1,0.847819644869929
2557,0.618129728807538,1,0.887583451589122
2558,0.227324026022207,1,0.741298396511465
2559,0.227324026022207,1,0.741298396511465
2560,0.562570644348652,1,0.87715027508927
2561,0.471496888843939,1,0.855777535307131
2562,0.337449925219857,1,0.807852930711235
2563,0.288820848474876,1,0.78258089543646
2564,0.600450277615467,1,0.884363810695984
2565,0.520244073174628,1,0.867987312399322
2566,0.37795945018843,1,0.82512758801906
2567,0.542063830278199,1,0.872870977555401
2568,0.520244073174628,1,0.867987312399322
2569,0.471496888843939,1,0.855777535307131
2570,0.337449925219857,1,0.807852930711235
2571,0.727318274018402,1,0.904556493652127
2572,0.412881794087257,1,0.837980543371435
2573,0.227324026022207,1,0.741298396511465
2574,0.471496888843939,1,0.855777535307131
2575,0.142329324847983,1,0.668759086568026
2576,0.600450277615467,1,0.884363810695984
2577,0.865830493786828,1,0.923252653352253
2578,0.635128409804321,1,0.890422270698761
2579,0.600450277615467,1,0.884363810695984
2580,0.288820848474876,1,0.78258089543646
2581,0.288820848474876,1,0.78258089543646
2582,0.667450584463582,1,0.895656496314342
2583,0,NA,NA
2584,0,NA,NA
2585,0.667450584463582,1,0.895656496314342
2586,0.142329324847983,1,0.668759086568026
2587,0.227324026022207,1,0.741298396511465
2588,0.635128409804321,1,0.890422270698761
2589,0.496839111679469,1,0.86236919223216
2590,0.600450277615467,1,0.884363810695984
2591,0.227324026022207,1,0.741298396511465
2592,0.443734309561379,1,0.847819644869929
2593,0.443734309561379,1,0.847819644869929
2594,0.227324026022207,1,0.741298396511465
2595,0.142329324847983,1,0.668759086568026
2596,0.542063830278199,1,0.872870977555401
2597,0.337449925219857,1,0.807852930711235
2598,0.635128409804321,1,0.890422270698761
2599,0.412881794087257,1,0.837980543371435
2600,0.37795945018843,1,0.82512758801906
2601,0.37795945018843,1,0.82512758801906
2602,0.288820848474876,1,0.78258089543646
2603,0.471496888843939,1,0.855777535307131
2604,0.471496888843939,1,0.855777535307131
2605,0.783470965520146,1,0.912265283176751
2606,0.600450277615467,1,0.884363810695984
2607,0.288820848474876,1,0.78258089543646
